"","plot","year","tag","status","LIDE","QUAG","QUAG x QUWI","QUCH","QUKE","QUKE X QUAG","QUWI","UMCA","Unknown sp."
"264","ANN04",2004,"3076","Alive",NA,NA,NA,NA,21.5,NA,NA,NA,NA
"265","ANN04",2004,"392","Alive",NA,NA,NA,NA,NA,NA,NA,20,NA
"266","ANN04",2004,"395","Alive",NA,NA,NA,NA,NA,NA,NA,12,NA
"267","ANN04",2004,"503","Alive",NA,NA,NA,NA,NA,NA,NA,13,NA
"268","ANN04",2004,"518","Alive",NA,NA,NA,NA,NA,NA,NA,16.25,NA
"269","ANN04",2004,"521","Alive",NA,NA,NA,NA,NA,NA,NA,8.25,NA
"270","ANN04",2004,"526","Alive",NA,NA,NA,NA,NA,NA,NA,6.75,NA
"271","ANN04",2004,"549","Alive",NA,NA,NA,NA,NA,NA,NA,4.5,NA
"272","ANN04",2004,"595","Alive",NA,NA,NA,NA,NA,NA,NA,17,NA
"273","ANN04",2004,"597","Alive",NA,NA,NA,NA,NA,NA,NA,3.75,NA
"274","ANN04",2004,"603","Alive",NA,NA,NA,NA,NA,NA,NA,6.75,NA
"275","ANN04",2004,"611","Alive",NA,NA,NA,NA,NA,NA,NA,11.5,NA
"276","ANN04",2004,"643","Alive",NA,NA,NA,NA,NA,NA,NA,12.75,NA
"277","ANN04",2005,"1904","Alive",NA,NA,NA,NA,NA,NA,NA,12.4,NA
"278","ANN04",2012,"1500","Alive",NA,NA,NA,NA,45.6,NA,NA,NA,NA
"279","ANN04",2012,"1904","Alive",NA,NA,NA,NA,NA,NA,NA,14,NA
"280","ANN04",2012,"1985","Alive",NA,NA,NA,NA,45,NA,NA,NA,NA
"281","ANN04",2012,"3074","Alive",NA,NA,NA,NA,32.7,NA,NA,NA,NA
"282","ANN04",2012,"392","Alive",NA,NA,NA,NA,NA,NA,NA,21.4,NA
"283","ANN04",2012,"395","Alive",NA,NA,NA,NA,NA,NA,NA,14.4,NA
"284","ANN04",2012,"503","Alive",NA,NA,NA,NA,NA,NA,NA,14.4,NA
"285","ANN04",2012,"518","Alive",NA,NA,NA,NA,NA,NA,NA,17.6,NA
"286","ANN04",2012,"521","Alive",NA,NA,NA,NA,NA,NA,NA,8.3,NA
"287","ANN04",2012,"526","Alive",NA,NA,NA,NA,NA,NA,NA,7.2,NA
"288","ANN04",2012,"549","Alive",NA,NA,NA,NA,NA,NA,NA,5.9,NA
"289","ANN04",2012,"595","Alive",NA,NA,NA,NA,NA,NA,NA,17.8,NA
"290","ANN04",2012,"597","Alive",NA,NA,NA,NA,NA,NA,NA,3.8,NA
"291","ANN04",2012,"603","Alive",NA,NA,NA,NA,NA,NA,NA,6.6,NA
"292","ANN04",2012,"611","Alive",NA,NA,NA,NA,NA,NA,NA,13.5,NA
"293","ANN04",2012,"643","Alive",NA,NA,NA,NA,NA,NA,NA,14.3,NA
"294","ANN04",2014,"1500","Alive",NA,NA,NA,NA,44.8,NA,NA,NA,NA
"295","ANN04",2014,"1904","Alive",NA,NA,NA,NA,NA,NA,NA,13.9,NA
"296","ANN04",2014,"1985","Alive",NA,NA,NA,NA,44.9,NA,NA,NA,NA
"297","ANN04",2014,"3074","Dead",NA,NA,NA,NA,33.1,NA,NA,NA,NA
