"","plotid","hrs04_14_20","hrs04_abv25","hrs04_blw10","hrs05_14_20","hrs05_abv25","hrs05_blw10","hrs06_14_20","hrs06_abv25","hrs06_blw10","hrs07_14_20","hrs07_abv25","hrs07_blw10","hrs08_14_20","hrs08_abv25","hrs08_blw10","hrs09_14_20","hrs09_abv25","hrs09_blw10","hrs10_14_20","hrs10_abv25","hrs10_blw10","hrs11_14_20","hrs11_abv25","hrs11_blw10","hrs12_14_20","hrs12_abv25","hrs12_blw10","hrs14_14_20","hrs14_abv25","hrs14_blw10"
"121","MCNEIL03",787,98,2489,816,36,2296,886,67,2455,1034,60,2095,799,65,2381,1006,122,2217,755,10,2753,914,23,2691,883,95,2213,1452,32,1136
"122","MESCH01",742,59,2707,659,6,2543,787,15,2680,806,27,2486,710,12,2714,829,77,2470,587,NA,3075,748,14,2827,774,39,2507,1082,17,1459
"123","MITSU01",683,7,3453,531,NA,3167,632,8,3219,758,2,2996,461,12,3139,844,33,2929,418,NA,3670,616,NA,3545,506,6,3358,846,NA,2108
"124","MITSU02",768,22,3316,665,NA,2916,726,31,3081,999,6,2643,651,22,2857,888,56,2640,568,NA,3351,736,8,3335,644,36,2950,1211,3,1613
"125","MITSU03",600,24,3420,583,3,3271,586,28,3271,742,5,3017,504,7,3112,818,65,2926,405,NA,3661,584,7,3521,572,21,3341,797,6,2228
"126","MITSU04",821,13,3237,615,4,2947,732,30,3035,985,5,2656,728,3,2830,940,59,2576,529,7,3341,733,9,3263,629,48,2997,1127,9,1631
"127","MOREL01",762,57,2472,689,NA,2417,725,13,2629,852,29,2426,667,13,2652,866,66,2443,581,1,2920,685,10,2789,797,26,2506,1007,9,1393
"128","MOREL02",766,60,2394,786,NA,2296,757,16,2537,917,39,2263,780,18,2488,943,82,2249,659,2,2785,766,19,2655,867,36,2269,1190,14,1228
"129","MROTH01",707,26,3136,629,4,2943,684,12,2990,830,10,2752,572,5,2992,814,47,2757,484,NA,3370,647,3,3284,715,14,3007,994,NA,1662
"130","MROTH02",756,34,2814,677,3,2488,849,15,2740,917,13,2442,767,8,2667,912,66,2500,584,NA,3041,778,2,2974,742,15,2504,1504,NA,1355
"131","MROTH03",777,53,2705,729,4,2484,851,20,2653,1046,18,2299,789,15,2590,958,61,2412,684,NA,2858,824,7,2876,817,27,2369,1322,1,1336
"132","MUTTE01",763,75,2788,777,20,2522,807,51,2748,1015,40,2285,718,49,2553,937,105,2414,648,2,3078,864,16,2963,780,71,2574,1278,16,1354
"133","MUTTE02",630,47,3097,519,3,3116,556,21,3130,721,20,2771,527,34,3041,713,54,2896,423,NA,3568,541,11,3306,641,39,3094,728,12,2053
"134","NELSO01",708,197,2280,849,59,2183,749,100,2222,861,142,2201,768,73,2486,871,175,2223,726,38,2565,800,71,2444,922,145,2258,1026,65,1341
"135","NELSO02",751,190,2312,844,61,2206,745,104,2293,887,137,2207,786,70,2467,862,173,2267,712,41,2671,782,67,2565,927,142,2292,1027,47,1333
"136","OTELL01",791,152,2440,841,37,2414,709,72,2497,869,97,2440,724,42,2753,818,120,2503,680,28,2927,744,57,2712,925,95,2521,876,41,1804
"137","PARDI01",716,68,2596,729,10,2436,720,32,2567,916,39,2255,832,15,2527,852,73,2343,637,NA,3060,717,11,2740,761,45,2592,1037,9,1340
"138","PARSO01",754,186,2512,808,56,2490,655,98,2521,836,124,2473,738,49,2724,868,155,2390,674,54,2920,769,92,2671,918,139,2531,901,67,1592
"139","PETER01",680,139,2711,811,41,2679,702,62,2686,799,94,2774,663,50,3033,760,120,2782,652,36,3057,711,55,2872,848,100,2764,769,51,2250
"140","PETSN01",704,83,2837,681,21,2647,667,45,2743,812,45,2521,664,37,2852,857,82,2539,556,6,3161,747,20,2920,810,69,2628,1062,22,1450
"141","PETSN02",754,94,2690,750,22,2513,772,44,2619,931,46,2371,727,62,2698,880,92,2526,587,1,3138,762,29,2949,880,66,2621,1108,17,1394
"142","PFEND01",735,41,2878,558,3,2883,646,9,2838,820,14,2594,609,10,2865,806,46,2706,490,NA,3294,603,3,3169,724,18,2905,928,NA,1639
"143","PFEND02",776,42,2961,727,4,2661,794,25,2841,973,10,2409,739,7,2655,887,58,2545,594,NA,3115,750,7,3137,769,18,2670,1325,NA,1367
"144","PHILL01",631,109,2771,777,27,2695,652,72,2745,728,74,2839,648,36,3105,747,96,2795,594,22,3067,700,45,2905,799,86,2794,753,38,2294
"145","PHILL02",744,171,2336,861,46,2359,746,95,2362,895,130,2327,781,55,2627,848,139,2412,689,46,2798,762,74,2604,968,125,2414,883,69,1711
"146","PONTI02",703,42,3152,501,8,2942,658,26,3021,704,27,2765,523,62,3058,807,57,2793,419,NA,3546,617,11,3238,629,44,2977,949,11,1638
"147","REDDE01",684,118,2420,829,32,2398,703,63,2357,765,82,2446,711,38,2742,780,119,2417,654,28,2754,698,45,2589,822,102,2484,954,32,1696
"148","REDDE02",771,123,2276,892,36,2118,803,73,2229,892,82,2180,844,34,2431,862,119,2231,724,22,2650,780,35,2570,877,100,2241,1103,31,1352
"149","SAWI01",725,64,2633,710,5,2561,657,30,2622,849,38,2404,777,18,2661,823,73,2431,629,1,3067,700,12,2800,755,46,2703,982,13,1539
"150","SCHIEK01",744,42,2803,775,6,2545,860,20,2757,1050,12,2320,755,7,2596,962,80,2422,671,NA,2917,812,5,2965,799,22,2433,1467,NA,1353
"151","SCHIEK02",772,52,2788,763,6,2539,815,32,2692,1047,22,2291,756,10,2638,959,67,2453,641,NA,2980,776,8,2971,847,24,2532,1074,41,1348
"152","SDC01",712,82,2559,698,24,2602,657,51,2599,785,58,2570,666,28,2862,785,76,2549,565,10,3001,699,23,2810,710,78,2706,735,19,1861
"153","SDC02",701,58,2527,714,17,2516,641,39,2549,806,53,2508,673,22,2807,748,69,2528,597,3,3013,689,13,2723,741,73,2633,807,16,1793
