"PlotID","Date","ClusterID","TagNumber","SpeciesID","StemStatus","AliveClass","DeadClass","SympLeafCount","CankerPresent","DBH","LideFoliarSymp","SOD_Dead","Location"
"ANN01",5/7/2012 0:00:00,3,"841","UMCA","Alive",1,,45,0,25.40,0,0,"In"
"ANN01",5/7/2012 0:00:00,9,"4540","UMCA","Alive",1,,98,0,3.30,0,0,"In"
"ANN01",5/7/2012 0:00:00,5,"812","UMCA","Alive",2,,100,0,11.20,0,0,"Out"
"ANN01",5/7/2012 0:00:00,5,"809","UMCA","Alive",2,,80,0,1.50,0,0,"In"
"ANN01",5/7/2012 0:00:00,13,"815","UMCA","Alive",1,,61,0,10.00,0,0,"In"
"ANN01",5/7/2012 0:00:00,13,"875","UMCA","Alive",1,,30,0,25.80,0,0,"In"
"ANN01",5/7/2012 0:00:00,6,"832","UMCA","Alive",1,,122,0,11.90,0,0,"Out"
"ANN01",5/7/2012 0:00:00,6,"827","UMCA","Alive",3,,17,0,9.50,0,0,"Out"
"ANN01",5/7/2012 0:00:00,4,"816","UMCA","Alive",1,,117,0,2.80,0,0,"In"
"ANN01",5/7/2012 0:00:00,10,"814","UMCA","Alive",1,,55,0,2.20,0,0,"In"
"ANN01",5/7/2012 0:00:00,14,"834","UMCA","Alive",1,,52,0,18.90,0,0,"In"
"ANN01",5/7/2012 0:00:00,7,"807","UMCA","Alive",1,,19,0,21.90,0,0,"In"
"ANN01",5/7/2012 0:00:00,3,"4541","UMCA","Alive",2,,36,0,2.50,0,0,"In"
"ANN01",5/7/2012 0:00:00,19,"1984","UMCA","Alive",1,,51,0,3.80,0,0,"In"
"ANN01",5/7/2012 0:00:00,1,"862","UMCA","Alive",1,,95,0,12.40,0,0,"Out"
"ANN01",5/7/2012 0:00:00,19,"884","UMCA","Alive",2,,59,0,6.40,0,0,"In"
"ANN01",4/10/2014 0:00:00,15,"844","UMCA","Alive",2,,30,0,10.50,0,0,"In"
"ANN01",4/10/2014 0:00:00,16,"822","UMCA","Alive",1,,10,0,25.50,0,0,"Out"
"ANN01",4/10/2014 0:00:00,17,"831","UMCA","X - Stem Missing",,,,0,,0,0,"In"
"ANN01",4/10/2014 0:00:00,18,"828","UMCA","Alive",1,,14,0,16.70,0,0,"In"
"ANN01",4/10/2014 0:00:00,18,"836","UMCA","Dead",,1,,0,10.70,0,0,"In"
"ANN01",4/10/2014 0:00:00,19,"1984","UMCA","Alive",1,,37,0,4.00,0,0,"In"
"ANN01",4/10/2014 0:00:00,20,"826","UMCA","Alive",1,,18,0,8.90,0,0,"Out"
"ANN01",4/10/2014 0:00:00,19,"884","UMCA","Alive",2,,62,0,6.40,0,0,"In"
"ANN01",4/10/2014 0:00:00,13,"815","UMCA","Alive",1,,7,0,9.40,0,0,"In"
"ANN01",4/10/2014 0:00:00,10,"814","UMCA","Alive",2,,3,0,2.00,0,0,"In"
"ANN01",4/10/2014 0:00:00,7,"807","UMCA","Alive",1,,9,0,21.90,0,0,"In"
"ANN01",4/10/2014 0:00:00,11,"887","UMCA","Alive",1,,6,0,18.00,0,0,"Out"
"ANN01",4/10/2014 0:00:00,2,"889","UMCA","Alive",1,,38,0,14.50,0,0,"In"
"ANN01",4/10/2014 0:00:00,1,"862","UMCA","Alive",1,,22,0,13.50,0,0,"Out"
"ANN01",4/10/2014 0:00:00,14,"834","UMCA","Alive",1,,18,0,19.00,0,0,"In"
"ANN01",4/10/2014 0:00:00,13,"875","UMCA","Alive",1,,7,0,26.00,0,0,"In"
"ANN01",4/10/2014 0:00:00,12,"879","UMCA","Alive",1,,40,0,8.20,0,0,"In"
"ANN01",4/10/2014 0:00:00,9,"900","UMCA","Alive",1,,31,0,14.00,0,0,"In"
"ANN01",4/10/2014 0:00:00,5,"809","UMCA","Alive",2,,0,0,4.00,0,0,"In"
"ANN01",4/10/2014 0:00:00,6,"832","UMCA","Alive",1,,39,0,12.30,0,0,"Out"
"ANN01",4/10/2014 0:00:00,5,"812","UMCA","Alive",2,,29,0,11.50,0,0,"Out"
"ANN01",4/10/2014 0:00:00,9,"4540","UMCA","Alive",1,,105,0,3.80,0,0,"In"
"ANN01",4/10/2014 0:00:00,4,"816","UMCA","Alive",1,,25,0,3.00,0,0,"In"
"ANN01",4/10/2014 0:00:00,3,"841","UMCA","Alive",1,,63,0,26.40,0,0,"In"
"ANN01",4/10/2014 0:00:00,3,"4541","UMCA","Alive",2,,11,0,3.50,0,0,"In"
"ANN01",4/10/2014 0:00:00,8,"838","UMCA","Alive",1,,25,0,4.50,0,0,"In"
"ANN01",4/10/2014 0:00:00,6,"827","UMCA","Dead",,4,9,0,9.00,0,0,"Out"
"ANN02",11/7/2003 0:00:00,3,"1497","QUKE","Alive",,,,0,,0,0,"In"
"ANN02",11/7/2003 0:00:00,2,"1498","QUKE","Alive",,,,0,18.80,0,0,"In"
"ANN02",11/7/2003 0:00:00,1,"1499","QUKE","Alive",,,,0,21.50,0,0,"In"
"ANN02",11/7/2003 0:00:00,4,"1496","QUKE","Alive",,,,0,,0,0,"In"
"ANN02",5/12/2004 0:00:00,3,"545","UMCA","Alive",,,0,0,15.50,0,0,"Out"
"ANN02",5/12/2004 0:00:00,7,"559","UMCA","Alive",,,0,0,19.00,0,0,"Out"
